Scales,s7,s14,s4,s5,s6,s20,s22,s1,s2,s3,s8,s9,s10,s11,s12,s13,s15,s16,s17,s18,s19,s21,s23,s24,s25,s26,s27,s28
s7,0,0.090909091,0.117647059,0.125,0.238095238,0.09375,0.085714286,0.066666667,0.5,0.136363636,0.208333333,0.041666667,0.181818182,0.115384615,0.034482759,0.142857143,0.157894737,0.138888889,0.3,0.142857143,0,0.111111111,0.142857143,0.04,0.083333333,0.1875,0.166666667,0.066666667
s14,0.090909091,0,0.162790698,0.344827586,0.225806452,0.146341463,0.162790698,0.128205128,0.2,0.321428571,0.171428571,0.193548387,0.19047619,0.171428571,0.166666667,0.294117647,0.259259259,0.394736842,0.136363636,0.217391304,0,0.157894737,0.052631579,0.225806452,0.086956522,0.409090909,0.178571429,0.272727273
s4,0.117647059,0.162790698,0,0.261904762,0.333333333,0.29787234,0.20754717,0.260869565,0.157894737,0.275,0.279069767,0.275,0.083333333,0.222222222,0.191489362,0.45,0.297297297,0.288461538,0.114285714,0.166666667,0.058823529,0.058823529,0.0625,0.209302326,0.114285714,0.25,0.205128205,0.076923077
s5,0.125,0.344827586,0.261904762,0,0.205882353,0.219512195,0.204545455,0.205128205,0.178571429,0.428571429,0.222222222,0.212121212,0.166666667,0.189189189,0.153846154,0.342857143,0.275862069,0.4,0.12,0.291666667,0.041666667,0.136363636,0.095238095,0.205882353,0.166666667,0.36,0.125,0.192307692
s6,0.238095238,0.225806452,0.333333333,0.205882353,0,0.324324324,0.209302326,0.314285714,0.333333333,0.258064516,0.592592593,0.147058824,0.227272727,0.264705882,0.189189189,0.4375,0.285714286,0.30952381,0.173913043,0.153846154,0.043478261,0.142857143,0.047619048,0.111111111,0.08,0.269230769,0.296296296,0.071428571
s20,0.09375,0.146341463,0.29787234,0.219512195,0.324324324,0,0.29787234,0.71875,0.171428571,0.11627907,0.368421053,0.5,0.090909091,0.130434783,0.081632653,0.30952381,0.125,0.230769231,0.125,0.083333333,0.03125,0.1,0.033333333,0.441176471,0.058823529,0.135135135,0.189189189,0.147058824
s22,0.085714286,0.162790698,0.20754717,0.204545455,0.209302326,0.29787234,0,0.288888889,0.128205128,0.186046512,0.195652174,0.186046512,0.147058824,0.25,0.217391304,0.208333333,0.11627907,0.31372549,0.147058824,0.135135135,0.090909091,0.125,0.0625,0.3,0.147058824,0.216216216,0.27027027,0.105263158
s1,0.066666667,0.128205128,0.260869565,0.205128205,0.314285714,0.71875,0.288888889,0,0.151515152,0.125,0.324324324,0.323529412,0.137931034,0.088888889,0.063829787,0.268292683,0.166666667,0.22,0.137931034,0.090909091,0.071428571,0.071428571,0.037037037,0.4375,0.064516129,0.147058824,0.171428571,0.161290323
s2,0.5,0.2,0.157894737,0.178571429,0.333333333,0.171428571,0.128205128,0.151515152,0,0.148148148,0.296296296,0.068965517,0.266666667,0.206896552,0.125,0.1875,0.166666667,0.205128205,0.461538462,0.157894737,0.066666667,0.142857143,0.076923077,0.103448276,0.117647059,0.25,0.173913043,0.1
s3,0.136363636,0.321428571,0.275,0.428571429,0.258064516,0.11627907,0.186046512,0.125,0.148148148,0,0.272727273,0.151515152,0.181818182,0.3125,0.303030303,0.40625,0.75,0.317073171,0.083333333,0.526315789,0.095238095,0.15,0.105263158,0.114285714,0.238095238,0.454545455,0.214285714,0.115384615
s8,0.208333333,0.171428571,0.279069767,0.222222222,0.592592593,0.368421053,0.195652174,0.324324324,0.296296296,0.272727273,0,0.3125,0.304347826,0.210526316,0.146341463,0.4,0.3,0.288888889,0.25,0.178571429,0.125,0.125,0.041666667,0.194444444,0.111111111,0.24137931,0.407407407,0.064516129
s9,0.041666667,0.193548387,0.275,0.212121212,0.147058824,0.5,0.186046512,0.323529412,0.068965517,0.151515152,0.3125,0,0.04,0.05,0.023809524,0.285714286,0.129032258,0.173913043,0.083333333,0.115384615,0,0.095238095,0,0.56,0.04,0.142857143,0.259259259,0.16
s10,0.181818182,0.19047619,0.083333333,0.166666667,0.227272727,0.090909091,0.147058824,0.137931034,0.266666667,0.181818182,0.304347826,0.04,0,0.111111111,0.107142857,0.137931034,0.210526316,0.135135135,0.4,0.214285714,0.375,0.375,0.125,0.08,0.166666667,0.176470588,0.222222222,0.133333333
s11,0.115384615,0.171428571,0.222222222,0.189189189,0.264705882,0.130434783,0.25,0.088888889,0.206896552,0.3125,0.210526316,0.05,0.111111111,0,0.740740741,0.256410256,0.21875,0.260869565,0.153846154,0.178571429,0.125,0.08,0.041666667,0.048780488,0.304347826,0.285714286,0.225806452,0.064516129
s12,0.034482759,0.166666667,0.191489362,0.153846154,0.189189189,0.081632653,0.217391304,0.063829787,0.125,0.303030303,0.146341463,0.023809524,0.107142857,0.740740741,0,0.19047619,0.212121212,0.229166667,0.107142857,0.172413793,0.12,0.076923077,0.04,0.023255814,0.24,0.233333333,0.181818182,0.0625
s13,0.142857143,0.294117647,0.45,0.342857143,0.4375,0.30952381,0.208333333,0.268292683,0.1875,0.40625,0.4,0.285714286,0.137931034,0.256410256,0.19047619,0,0.4,0.386363636,0.178571429,0.2,0.034482759,0.111111111,0.037037037,0.210526316,0.1,0.444444444,0.28125,0.125
s15,0.157894737,0.259259259,0.297297297,0.275862069,0.285714286,0.125,0.11627907,0.166666667,0.166666667,0.75,0.3,0.129032258,0.210526316,0.21875,0.212121212,0.4,0,0.243902439,0.095238095,0.529411765,0.111111111,0.111111111,0.125,0.125,0.210526316,0.380952381,0.24,0.083333333
s16,0.138888889,0.394736842,0.288461538,0.4,0.30952381,0.230769231,0.31372549,0.22,0.205128205,0.317073171,0.288888889,0.173913043,0.135135135,0.260869565,0.229166667,0.386363636,0.243902439,0,0.135135135,0.184210526,0.054054054,0.083333333,0.057142857,0.222222222,0.105263158,0.263157895,0.19047619,0.125
s17,0.3,0.136363636,0.114285714,0.12,0.173913043,0.125,0.147058824,0.137931034,0.461538462,0.083333333,0.25,0.083333333,0.4,0.153846154,0.107142857,0.178571429,0.095238095,0.135135135,0,0.133333333,0.222222222,0.222222222,0.125,0.125,0.166666667,0.25,0.294117647,0.133333333
s18,0.142857143,0.217391304,0.166666667,0.291666667,0.153846154,0.083333333,0.135135135,0.090909091,0.157894737,0.526315789,0.178571429,0.115384615,0.214285714,0.178571429,0.172413793,0.2,0.529411765,0.184210526,0.133333333,0,0.166666667,0.272727273,0.2,0.153846154,0.307692308,0.277777778,0.25,0.111111111
s19,0,0,0.058823529,0.041666667,0.043478261,0.03125,0.090909091,0.071428571,0.066666667,0.095238095,0.125,0,0.375,0.125,0.12,0.034482759,0.111111111,0.054054054,0.222222222,0.166666667,0,0.142857143,0.2,0.043478261,0.375,0,0.1875,0
s21,0.111111111,0.157894737,0.058823529,0.136363636,0.142857143,0.1,0.125,0.071428571,0.142857143,0.15,0.125,0.095238095,0.375,0.08,0.076923077,0.111111111,0.111111111,0.083333333,0.222222222,0.272727273,0.142857143,0,0.2,0.090909091,0.222222222,0.214285714,0.266666667,0.272727273
s23,0.142857143,0.052631579,0.0625,0.095238095,0.047619048,0.033333333,0.0625,0.037037037,0.076923077,0.105263158,0.041666667,0,0.125,0.041666667,0.04,0.037037037,0.125,0.057142857,0.125,0.2,0.2,0.2,0,0,0.125,0.071428571,0.133333333,0.090909091
s24,0.04,0.225806452,0.209302326,0.205882353,0.111111111,0.441176471,0.3,0.4375,0.103448276,0.114285714,0.194444444,0.56,0.08,0.048780488,0.023255814,0.210526316,0.125,0.222222222,0.125,0.153846154,0.043478261,0.090909091,0,0,0.038461538,0.178571429,0.206896552,0.153846154
s25,0.083333333,0.086956522,0.114285714,0.166666667,0.08,0.058823529,0.147058824,0.064516129,0.117647059,0.238095238,0.111111111,0.04,0.166666667,0.304347826,0.24,0.1,0.210526316,0.105263158,0.166666667,0.307692308,0.375,0.222222222,0.125,0.038461538,0,0.176470588,0.294117647,0.0625
s26,0.1875,0.409090909,0.25,0.36,0.269230769,0.135135135,0.216216216,0.147058824,0.25,0.454545455,0.24137931,0.142857143,0.176470588,0.285714286,0.233333333,0.444444444,0.380952381,0.263157895,0.25,0.277777778,0,0.214285714,0.071428571,0.178571429,0.176470588,0,0.272727273,0.210526316
s27,0.166666667,0.178571429,0.205128205,0.125,0.296296296,0.189189189,0.27027027,0.171428571,0.173913043,0.214285714,0.407407407,0.259259259,0.222222222,0.225806452,0.181818182,0.28125,0.24,0.19047619,0.294117647,0.25,0.1875,0.266666667,0.133333333,0.206896552,0.294117647,0.272727273,0,0.136363636
s28,0.066666667,0.272727273,0.076923077,0.192307692,0.071428571,0.147058824,0.105263158,0.161290323,0.1,0.115384615,0.064516129,0.16,0.133333333,0.064516129,0.0625,0.125,0.083333333,0.125,0.133333333,0.111111111,0,0.272727273,0.090909091,0.153846154,0.0625,0.210526316,0.136363636,0
