,SDS,SCL-90,CES-D,CDI,DSRSC,BDI-I,MSSMHS,BDI-II,PHQ-9,DASS-21,CBCL_boy,CBCL_girl,MFQ-C,CSSDS,CES-D-C,ADI,BSRS-5,CES-D-13,CEPS,DSI,HADS,HAMD,Ji_2005,KADS-11,Sakuma_2010,SMFQ,UPI,CSSMHS
SDS,,0.15,0.13,0.26,0.21,0.36,0.06,0.32,0.32,0.13,0.09,0.06,0.27,0.13,0.16,0.22,0.14,0.09,0.07,0.72,0.07,0.28,0.04,0.42,0.06,0.15,0.17,0.16
SCL-90,0.15,,0.14,0.15,0.14,0.29,0.54,0.29,0.1,0.24,0.17,0.12,0.22,0.19,0.15,0.23,0.43,0.15,0.06,0.2,0.13,0.15,0.07,0.13,0.11,0.24,0.17,0.1
CES-D,0.13,0.14,,0.28,0.39,0.27,0.18,0.27,0.15,0.17,0.32,0.3,0.41,0.32,0.71,0.32,0.08,0.53,0.1,0.12,0.15,0.21,0.11,0.11,0.24,0.45,0.21,0.12
CDI,0.26,0.15,0.28,,0.24,0.34,0.15,0.28,0.28,0.05,0.23,0.19,0.45,0.16,0.29,0.29,0.11,0.17,0.06,0.3,0.06,0.2,0.06,0.23,0.11,0.25,0.21,0.08
DSRSC,0.21,0.14,0.39,0.24,,0.23,0.13,0.23,0.22,0.22,0.17,0.13,0.31,0.31,0.23,0.38,0.08,0.25,0.04,0.23,0.14,0.2,0.1,0.21,0.13,0.32,0.13,0.2
BDI-I,0.36,0.29,0.27,0.34,0.23,,0.2,0.64,0.2,0.19,0.29,0.21,0.4,0.21,0.25,0.32,0.2,0.14,0.08,0.33,0.13,0.24,0.04,0.16,0.11,0.24,0.31,0.06
MSSMHS,0.06,0.54,0.18,0.15,0.13,0.2,,0.2,0.04,0.15,0.16,0.07,0.18,0.14,0.2,0.17,0.4,0.21,0,0.09,0.1,0.08,0.13,0.04,0.17,0.25,0.16,0.06
BDI-II,0.32,0.29,0.27,0.28,0.23,0.64,0.2,,0.31,0.24,0.22,0.15,0.4,0.17,0.29,0.29,0.25,0.18,0.13,0.41,0.13,0.22,0.04,0.19,0.11,0.24,0.41,0.06
PHQ-9,0.32,0.1,0.15,0.28,0.22,0.2,0.04,0.31,,0.08,0.05,0.02,0.29,0.19,0.13,0.17,0.08,0.12,0,0.55,0.1,0.21,0,0.54,0.04,0.14,0.26,0.16
DASS-21,0.13,0.24,0.17,0.05,0.22,0.19,0.15,0.24,0.08,,0.11,0.1,0.1,0.24,0.14,0.1,0.36,0.2,0.2,0.12,0.33,0.14,0.11,0.12,0.15,0.24,0.21,0.2
CBCL_boy,0.09,0.17,0.32,0.23,0.17,0.29,0.16,0.22,0.05,0.11,,0.7,0.26,0.18,0.22,0.27,0.16,0.19,0.13,0.11,0.08,0.25,0.04,0.08,0.32,0.3,0.23,0.07
CBCL_girl,0.06,0.12,0.3,0.19,0.13,0.21,0.07,0.15,0.02,0.1,0.7,,0.19,0.17,0.21,0.23,0.11,0.17,0.12,0.06,0.08,0.21,0.04,0.05,0.24,0.23,0.18,0.06
MFQ-C,0.27,0.22,0.41,0.45,0.31,0.4,0.18,0.4,0.29,0.1,0.26,0.19,,0.29,0.39,0.39,0.18,0.2,0.03,0.31,0.11,0.23,0.04,0.21,0.1,0.44,0.28,0.13
CSSDS,0.13,0.19,0.32,0.16,0.31,0.21,0.14,0.17,0.19,0.24,0.18,0.17,0.29,,0.25,0.39,0.14,0.22,0,0.15,0.16,0.19,0.05,0.26,0.09,0.41,0.18,0.27
CES-D-C,0.16,0.15,0.71,0.29,0.23,0.25,0.2,0.29,0.13,0.14,0.22,0.21,0.39,0.25,,0.24,0.09,0.5,0.11,0.12,0.11,0.14,0.12,0.12,0.2,0.36,0.23,0.08
ADI,0.22,0.23,0.32,0.29,0.38,0.32,0.17,0.29,0.17,0.1,0.27,0.23,0.39,0.39,0.24,,0.14,0.18,0.05,0.23,0.08,0.33,0.06,0.24,0.11,0.26,0.19,0.13
BSRS-5,0.14,0.43,0.08,0.11,0.08,0.2,0.4,0.25,0.08,0.36,0.16,0.11,0.18,0.14,0.09,0.14,,0.13,0.22,0.13,0.22,0.14,0.13,0.12,0.17,0.25,0.29,0.13
CES-D-13,0.09,0.15,0.53,0.17,0.25,0.14,0.21,0.18,0.12,0.2,0.19,0.17,0.2,0.22,0.5,0.18,0.13,,0.17,0.08,0.27,0.16,0.2,0.15,0.31,0.28,0.25,0.11
CEPS,0.07,0.06,0.1,0.06,0.04,0.08,0,0.13,0,0.2,0.13,0.12,0.03,0,0.11,0.05,0.22,0.17,,0.03,0.14,0.09,0.2,0.04,0.38,0,0.19,0
DSI,0.72,0.2,0.12,0.3,0.23,0.33,0.09,0.41,0.55,0.12,0.11,0.06,0.31,0.15,0.12,0.23,0.13,0.08,0.03,,0.1,0.29,0.03,0.47,0.06,0.14,0.22,0.15
HADS,0.07,0.13,0.15,0.06,0.14,0.13,0.1,0.13,0.1,0.33,0.08,0.08,0.11,0.16,0.11,0.08,0.22,0.27,0.14,0.1,,0.12,0.2,0.09,0.22,0.21,0.27,0.27
HAMD,0.28,0.15,0.21,0.2,0.2,0.24,0.08,0.22,0.21,0.14,0.25,0.21,0.23,0.19,0.14,0.33,0.14,0.16,0.09,0.29,0.12,,0.06,0.32,0.14,0.24,0.3,0.1
Ji_2005,0.04,0.07,0.11,0.06,0.1,0.04,0.13,0.04,0,0.11,0.04,0.04,0.04,0.05,0.12,0.06,0.13,0.2,0.2,0.03,0.2,0.06,,0,0.13,0.07,0.13,0.09
KADS-11,0.42,0.13,0.11,0.23,0.21,0.16,0.04,0.19,0.54,0.12,0.08,0.05,0.21,0.26,0.12,0.24,0.12,0.15,0.04,0.47,0.09,0.32,0,,0.04,0.17,0.2,0.15
Sakuma_2010,0.06,0.11,0.24,0.11,0.13,0.11,0.17,0.11,0.04,0.15,0.32,0.24,0.1,0.09,0.2,0.11,0.17,0.31,0.38,0.06,0.22,0.14,0.13,0.04,,0.18,0.29,0.06
SMFQ,0.15,0.24,0.45,0.25,0.32,0.24,0.25,0.24,0.14,0.24,0.3,0.23,0.44,0.41,0.36,0.26,0.25,0.28,0,0.14,0.21,0.24,0.07,0.17,0.18,,0.27,0.21
UPI,0.17,0.17,0.21,0.21,0.13,0.31,0.16,0.41,0.26,0.21,0.23,0.18,0.28,0.18,0.23,0.19,0.29,0.25,0.19,0.22,0.27,0.3,0.13,0.2,0.29,0.27,,0.14
CSSMHS,0.16,0.1,0.12,0.08,0.2,0.06,0.06,0.06,0.16,0.2,0.07,0.06,0.13,0.27,0.08,0.13,0.13,0.11,0,0.15,0.27,0.1,0.09,0.15,0.06,0.21,0.14,
Mean overlap,0.19,0.18,0.25,0.2,0.2,0.23,0.16,0.24,0.17,0.17,0.19,0.16,0.24,0.2,0.22,0.22,0.18,0.21,0.1,0.21,0.15,0.19,0.12,0.17,0.16,0.24,0.22,0.12
